Total Number of Aligned Reads:	15159	Total Number of Mapped Genomes:	2011
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|479436|org|Veillonella_parvula_DSM_2008	0.674270326205117	0.06616531433471864	1003.0	0.06616531433471864	0.0	0.6742703261836019	0.06195697940044071	939.2058507312807	0.05930470347648262	0.0029025661323306287
ti|365659|org|Streptococcus_mitis_B6	0.15272553158870986	0.5298502539745366	8032.0	0.5292565472656507	0.0005937067088858105	0.01388312766374539	0.39861890136315536	6042.663925764072	0.0	0.44119005211425555
ti|1046629|org|Streptococcus_salivarius_57.I	0.11756844687486563	0.09235437693779273	1400.0	0.09176067022890692	0.0005937067088858105	0.025011524787074586	0.020119349384852176	304.98921732497416	0.0	0.04703476482617587
ti|553174|org|Prevotella_melaninogenica_ATCC_25845	0.023511873152081048	0.08569166831585197	1299.0	0.08569166831585197	0.0	0.02351093400373189	0.08014030199516224	1214.8468379446645	0.07949073157860018	0.0030345009565274756
ti|1114965|org|Streptococcus_parasanguinis_FW213	0.011894526936365305	0.035226598060558084	534.0	0.034896761000065966	0.0003298370604921169	0.006583688168094635	0.027665594885458958	419.38275286867236	0.006200936737251798	0.05039910284319546
ti|680646|org|Rothia_mucilaginosa_DY-18	0.006379447361810833	0.04465993799063263	677.0	0.04465993799063263	0.0	0.006106764233062529	0.03555629729170028	538.9979106448845	0.03496272841216439	0.0008575763572795039
ti|388919|org|Streptococcus_sanguinis_SK36	0.005386609253136574	0.017085559733491656	259.0	0.015370407018932648	0.0017151527145590078	0.005948235288073751	0.0483395560962322	732.7793308627839	0.02968533544429052	0.034303054291180156
ti|467705|org|Streptococcus_gordonii_str._Challis_substr._CH1	0.0038104899209640605	0.004353849198495943	66.0	0.0042878817863975195	6.596741209842338e-05	0.0038109362501181883	0.004059169568028879	61.53295148174977	0.0017151527145590078	0.008839633221188734
ti|176279|org|Staphylococcus_epidermidis_RP62A	0.002758163946243427	0.0017151527145590078	26.0	0.0017151527145590078	0.0	0.001292131023215701	0.0005956844967131885	9.029981285675223	0.0	0.0011214460056731975
ti|546271|org|Selenomonas_sputigena_ATCC_35185	0.0007772293543119251	0.0006596741209842338	10.0	0.0006596741209842338	0.0	0.0007772293543019557	0.0007073541714720802	10.722781885345265	0.0005937067088858105	0.0003298370604921169
